date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
2/12/20,0,7,New Brunswick,2,February,February-W2
2/12/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/12/20,0,13,Northwest Territories,2,February,February-W2
2/12/20,0,2,Nova Scotia,2,February,February-W2
2/12/20,3,11,Ontario,2,February,February-W2
2/12/20,0,8,Prince Edward Island,2,February,February-W2
2/12/20,0,1,Quebec,2,February,February-W2
2/12/20,0,3,Saskatchewan,2,February,February-W2
2/12/20,0,9,Yukon,2,February,February-W2
2/12/20,0,12,Nunavut,2,February,February-W2
2/13/20,0,4,Alberta,2,February,February-W2
2/13/20,4,6,British Columbia,2,February,February-W2
2/13/20,0,10,Manitoba,2,February,February-W2
2/13/20,0,7,New Brunswick,2,February,February-W2
2/13/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/13/20,0,13,Northwest Territories,2,February,February-W2
2/13/20,0,2,Nova Scotia,2,February,February-W2
2/13/20,3,11,Ontario,2,February,February-W2
2/13/20,0,8,Prince Edward Island,2,February,February-W2
2/13/20,0,1,Quebec,2,February,February-W2
2/13/20,0,3,Saskatchewan,2,February,February-W2
2/13/20,0,9,Yukon,2,February,February-W2
2/13/20,0,12,Nunavut,2,February,February-W2
2/14/20,0,4,Alberta,2,February,February-W2
2/14/20,4,6,British Columbia,2,February,February-W2
2/14/20,0,10,Manitoba,2,February,February-W2
2/14/20,0,7,New Brunswick,2,February,February-W2
2/14/20,0,5,Newfoundland and Labrador,2,February,February-W2
2/14/20,0,13,Northwest Territories,2,February,February-W2
2/14/20,0,2,Nova Scotia,2,February,February-W2
2/14/20,3,11,Ontario,2,February,February-W2
2/14/20,0,8,Prince Edward Island,2,February,February-W2
2/14/20,0,1,Quebec,2,February,February-W2
2/14/20,0,3,Saskatchewan,2,February,February-W2
2/14/20,0,9,Yukon,2,February,February-W2
2/14/20,0,12,Nunavut,2,February,February-W2
2/15/20,0,4,Alberta,3,February,February-W3
2/15/20,4,6,British Columbia,3,February,February-W3
